Cu;Cu Sn;;;;
;Al;Si;Bi;S;Mn
5-23;0.075;0.114;0.004;0.123;~0.0010
5-24;0.068;0.112;0.004;0.127;~0.0009
5-25;0.068;0.112;0.004;0.123;~0.0009
5-26;0.066;0.110;0.004;0.119;~0.0007
5-27;0.066;0.112;0.004;0.119;~0.0009
5-28;0.065;0.110;0.004;0.117;~0.0007
5-29;0.065;0.111;0.004;0.127;~0.0010
5-30;0.064;0.109;0.004;0.119;~0.0007
5-31;0.063;0.111;0.004;0.121;~0.0007
5-33;0.063;0.107;0.004;0.123;~0.0010
;;;;;
5-23;0.006;0.006;0.001;0.011;
5-24;0.006;0.006;0.001;0.011;
5-25;0.006;0.006;0.001;0.011;
5-26;0.006;0.006;0.001;0.011;
5-27;0.006;0.006;0.001;0.011;
5-28;0.006;0.006;0.001;0.011;
5-29;0.006;0.006;0.001;0.011;
5-30;0.006;0.006;0.001;0.011;
5-31;0.006;0.006;0.001;0.011;
5-33;0.006;0.006;0.001;0.011;
