Cu;Cu Sn;;;;
;Al;Si;Bi;S;Mn
1-18;0.009;0.020;0.026;0.013;~0.0038
1-20;0.009;0.020;0.025;0.013;~0.0037
1-21;0.009;0.020;0.027;0.013;~0.0036
1-22;0.009;0.020;0.026;0.013;~0.0036
1-23;0.009;0.020;0.026;0.013;~0.0035
1-24;0.009;0.020;0.027;0.013;~0.0034
1-25;0.008;0.018;0.026;0.013;~0.0027
1-26;0.008;0.018;0.025;0.013;~0.0027
1-27;0.008;0.018;0.027;0.013;~0.0026
1-28;0.008;0.018;0.027;0.013;~0.0027
;;;;;
1-18;0.002;0.001;0.003;0.002;
1-20;0.002;0.001;0.003;0.002;
1-21;0.002;0.001;0.003;0.002;
1-22;0.002;0.001;0.003;0.002;
1-23;0.002;0.001;0.003;0.002;
1-24;0.002;0.001;0.003;0.002;
1-25;0.002;0.001;0.003;0.002;
1-26;0.002;0.001;0.003;0.002;
1-27;0.002;0.001;0.003;0.002;
1-28;0.002;0.001;0.003;0.002;
