Cu;Cu Sn;;;;
;Al;Si;Bi;S;Mn
2-16;0.006;0.032;0.019;0.018;~0.0011
2-18;0.006;0.032;0.019;0.018;~0.0011
2-19;0.006;0.032;0.019;0.018;~0.0011
2-20;0.004;0.023;0.019;0.018;~0.0007
2-21;0.004;0.023;0.019;0.018;~0.0007
2-22;0.004;0.023;0.020;0.018;~0.0007
2-23;0.004;0.023;0.020;0.018;~0.0007
2-25;0.004;0.022;0.020;0.018;~0.0007
2-27;0.004;0.022;0.020;0.018;~0.0007
2-29;0.003;0.017;0.020;0.019;~0.0006
;;;;;
2-16;0.001;0.001;0.003;0.003;
2-18;0.001;0.001;0.003;0.003;
2-19;0.001;0.001;0.003;0.003;
2-20;0.001;0.001;0.003;0.003;
2-21;0.001;0.001;0.003;0.003;
2-22;0.001;0.001;0.003;0.003;
2-23;0.001;0.001;0.003;0.003;
2-25;0.001;0.001;0.003;0.003;
2-27;0.001;0.001;0.003;0.003;
2-29;0.001;0.001;0.003;0.003;
